image_size,batch,status,latency_s,memory_bytes,energy_j,mean_power_w,predicted_memory_bytes,is_validation,warmup_repeats,latency_repeats,energy_repeats,energy_duration_s,power_samples,power_unique_values,error
32,1,ok,0.0008769039999947381,17741312.0,0.031829752628630255,38.75933333333333,4259136.0,1,10,7,3422,2.8101983220000193,84,27,
32,2,ok,0.0007842009999876609,18900992.0,0.035912183079869625,45.87913333333333,4336960.0,0,10,7,3826,2.9948258059999944,90,30,
32,4,ok,0.0008330320000027314,19123200.0,0.039631204678210796,45.95113978494625,4492608.0,0,10,7,3602,3.1065953949999994,93,31,
32,8,ok,0.000853587999984029,19567104.0,0.03855601867299581,50.07928395061728,4803904.0,0,10,7,3515,2.70619695299996,81,26,
32,16,ok,0.0008340300000213574,15007232.0,0.04031819049541068,54.82245,5426496.0,0,10,7,3597,2.6453493270000195,80,26,
32,32,ok,0.000790702000017518,16258560.0,0.051842264302556104,67.02188505747127,6671680.0,1,10,7,3795,2.9354798489999894,87,27,
32,64,ok,0.0010464049999541203,18761728.0,0.06539736736005969,69.3094,9162048.0,0,10,7,2867,2.705177828999979,80,24,
32,102,ok,0.0019669319999593426,49883136.0,0.1438247521960547,69.10631914893618,12119360.0,0,10,7,1526,3.175926233000041,94,27,
32,128,ok,0.0024002189999805523,59419648.0,0.17097226145365135,68.48745054945054,14142784.0,0,10,7,1250,3.1205034660000024,91,27,
32,178,ok,0.00338260299997728,76490752.0,0.23805895838710514,68.90050574712643,18033984.0,0,10,7,887,3.064684268999997,87,30,
32,244,ok,0.004602895000004992,100344320.0,0.3136551617037115,68.09034482758618,23170368.0,1,10,7,652,3.003409160999979,87,24,
32,256,ok,0.004733825000016623,103797760.0,0.3247560490122112,68.30048863636362,24104256.0,0,10,7,634,3.0145514209999646,88,24,
64,1,ok,0.0008952669999757745,23995904.0,0.046743568028492756,52.76891011235955,4492608.0,0,10,7,3351,2.9683708860000024,89,30,
64,2,ok,0.000817079000000831,24143872.0,0.0482461469881239,58.14243478260869,4803904.0,0,10,7,3672,3.0469974709999974,92,32,
64,4,ok,0.0008626019999837808,24931328.0,0.0539535221647835,61.06348913043479,5426496.0,0,10,7,3478,3.0730368140000337,92,31,
64,8,ok,0.0008193570000116779,17822720.0,0.05311641462694588,63.626714285714264,6671680.0,1,10,7,3662,3.0570855739999843,91,31,
64,16,ok,0.0008000000000265572,19529728.0,0.05423995317070885,69.1993793103448,9162048.0,0,10,7,3750,2.9393301849999602,87,29,
64,32,ok,0.000988941999992221,23860736.0,0.07177219192317805,68.10012631578947,14142784.0,0,10,7,3034,3.1975980380000237,95,26,
